id,name,rank
347305,Inventions: Evolution of Ideas,777
233247,Civilization: A New Dawn,778
169255,A Game of Thrones: The Card Game (Second Edition),779
209778,Magic Maze,780
100423,Elder Sign,781
368061,Zoo Vadis,782
180593,The Bloody Inn,783
174785,Mare Nostrum: Empires,784
204472,Sub Terra,785
306881,Railroad Ink Challenge: Lush Green Edition,786
3201,Lord of the Rings: The Confrontation,787
283864,Trails of Tucana,788
361545,Twilight Inscription,789
300300,Chronicles of Crime: 1400,790
271518,Disney Villainous: Wicked to the Core,791
205359,Star Wars: Destiny,792
454103,Magical Athlete,793
300905,Top Ten,794
163166,One Night Ultimate Werewolf: Daybreak,795
21763,Mr. Jack,796
316624,Stationfall,797
163839,Feudum,798
212445,Blood Bowl (2016 Edition),799
371330,Luthier,800
218603,Photosynthesis,801
270239,Moonrakers,802
338957,Caesar!: Seize Rome in 20 Minutes!,803
399941,River of Gold,804
266164,Babylonia,805
202670,Ticket to Ride: Rails & Sails,806
296912,Fort,807
121408,Trains,808
346703,7 Wonders: Architects,809
132018,Churchill,810
424219,Zenith,811
69789,Ascension: Deckbuilding Game,812
279613,Unlock!: Timeless Adventures,813
193558,The Oracle of Delphi,814
283863,The Magnificent,815
1513,The Republic of Rome,816
254708,Roll Player Adventures,817
2955,Mexica,818
425549,Moon Colony Bloodbath,819
113294,Escape: The Curse of the Temple,820
249381,The Estates,821
242639,Treasure Island,822
284760,Disney Villainous: Evil Comes Prepared,823
88,Torres,824
220517,The Shipwreck Arcana,825
198953,Pax Renaissance,826
180511,Shakespeare,827
301255,Whistle Mountain,828
231581,AuZtralia,829
148729,Maquis,830
183840,Oh My Goods!,831
214880,Chicago 1875: City of the Big Shoulders,832
123540,Tokaido,833
318560,Witchstone,834
71721,Space Hulk: Death Angel – The Card Game,835
58281,Summoner Wars,836
119432,Snowdonia,837
331787,Tiny Epic Dungeons,838
30380,Cuba,839
29603,D-Day at Omaha Beach,840
167400,Ashes Reborn: Rise of the Phoenixborn,841
50750,Belfort,842
7717,Carcassonne: The Castle,843
156336,Onirim (Second Edition),844
183562,Star Wars: X-Wing Miniatures Game – The Force Awakens Core Set,845
